Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Unit,Year,Report year,Industry classification,Industry classification link,Facility information,Facility details,More information
10001,Division Alma,Produits forestiers Résolu,Alma,1100 Melançon Street,G8B 5W2,Quebec,48.565,-71.65556,53.34,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Mechanical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322111&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10001-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110001&GoCTemplateCulture=en-CA
10003,"Foothills Pipeline, Alberta",Foothills Pipe Lines Ltd.,Airdrie,,T4A 2G7,Alberta,0,0,254.6,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10003-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110003&GoCTemplateCulture=en-CA
10004,Kingston CoGen,Kingston CoGen Limited Partnership,Bath,5146 Taylor-Kidd Boulevard,K0H 1G0,Ontario,44.2095,-76.7246,1.68,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10004-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110004&GoCTemplateCulture=en-CA
10006,Redwater Fertilizer Operations,Nutrien (Canada) Holdings ULC,Sturgeon County,56225 SH643,T0A 2W0,Alberta,53.842,-113.093,1095.8,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10006-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110006&GoCTemplateCulture=en-CA
10007,Alberta Envirofuels,Keyera Corp,Edmonton,9511 17 Street Northwest,T6P 1Y3,Alberta,53.53199,-113.36492,315.2,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Petrochemical Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10007-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110007&GoCTemplateCulture=en-CA
10008,Alliance Pipeline Ltd. - AB Pipeline System,Alliance Pipeline Ltd. Partnership,Calgary,4000 585 8 Avenue Southwest,T2P 1G1,Alberta,0,0,535.91,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10008-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110008&GoCTemplateCulture=en-CA
10009,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,,T0A 0M0,Alberta,54.92312,-112.86187,144.81,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Chemical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10009-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110009&GoCTemplateCulture=en-CA
10010,Rio Tinto Alcan Inc.,Rio Tinto Alcan Inc,Kitimat,1 Smeltersite Road,V8C 2H2,British Columbia,54.00286,-128.69531,824.93,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10010-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110010&GoCTemplateCulture=en-CA
10011,Algoma Steel Inc,Algoma Steel Inc.,Sault Ste. Marie,105 West Street North,P6A 7B4,Ontario,46.5217,-84.3637,4226.73,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10011-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110011&GoCTemplateCulture=en-CA
10012,Aluminerie Alouette inc.,Aluminerie Alouette inc.,SeptÎles,400 Chemin de de la Pointe-Noire,G4R 5M9,Quebec,50.1583,-66.4416,1099.45,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2024,2026,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10012-2024.html,,https://indicators-map.dev.ec.gc.ca/App/Detail?id=0110012&GoCTemplateCulture=en-CA
